Tue Sep 18 12:21:05 PDT 2012
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1347996005493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996010493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996015493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996020493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996025493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996030493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996035494,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996040493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996045493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996050493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996055493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996060493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996065493,5,25,4,1,17,0,0,0,0,0,0,0,0
1347996070494,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996075493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996080493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996085493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996090497,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996095493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996100493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996105494,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996110493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996115493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996120493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996125493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996130493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996135493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996140494,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996145493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996150493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996155493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996160493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996165493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996170493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996175494,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996180493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996185493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996190493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996195493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347996200493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347996205493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347996210494,5,25,5,0,17,0,0,0,1,0,0,0,0
1347996215493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347996220493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347996225493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347996230493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347996235493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996240493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996245494,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996250493,5,25,5,0,17,0,0,0,0,0,0,0,0
1347996255493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996260493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996265493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996270493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996275493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996280494,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996285493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996290493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996295493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996300493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996305493,5,25,4,1,17,0,0,0,2,0,0,0,0
1347996310493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996315494,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996320493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996325493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996330493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996335493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996340493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996345493,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996350494,5,25,5,0,17,0,0,0,2,0,0,0,0
1347996355493,5,25,4,1,17,0,0,0,2,0,0,0,0
1347996360493,5,25,4,1,17,0,0,0,2,0,0,0,0
1347996365493,5,25,3,2,17,0,0,0,2,0,0,0,0
1347996370493,5,25,4,1,17,0,0,0,2,0,0,0,0
1347996375493,5,25,4,1,17,0,0,0,2,0,0,0,0
1347996380493,5,25,4,1,17,0,0,0,2,0,0,0,0
1347996385493,5,25,4,1,17,0,0,0,2,0,0,0,0
1347996390493,5,25,4,1,17,0,0,0,1,0,0,0,0
